El tamaño del palíndromo será de 3701

P; inicio 
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001P10001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011P110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110P0110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100P00110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001P100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011P1100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110P01100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101P101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011P1101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111P11101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111P111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111P1111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110P01111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100P001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001P1001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010P01001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100P001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000P0001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001P10001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010P010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101P1010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011P11010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111P111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111P1111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111P11111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110P011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100P0011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000P00011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001P100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010P0100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100P00100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001P100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010P0100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101P10100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010P010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100P0010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000P00010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000P000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000P0000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001P10000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011P110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110P0110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100P00110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001P100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011P1100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111P11100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110P011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101P1011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011P11011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111P111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111P1111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110P01111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101P101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010P0101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101P10101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011P110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111P1110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111P11110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110P011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100P0011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000P00011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000P000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001P1000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011P11000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110P011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100P0011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001P10011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010P010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101P1010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011P11010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111P111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111P1111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111P11111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111P111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110P0111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101P10111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010P010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100P0010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000P00010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001P100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010P0100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100P00100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001P100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011P1100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111P11100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
010010011111100000000011000001101100000011001100101111001000101001100111100111100001000101000110100011001101111100100010111110001001010000011001110111101011110000110010111111010001001110P011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  0P0
0100100111111000000000110000011011000000110011001011110010001010011001111001111000010001010001101000110011011111001000101111100010010100000110011101111010111100001100101111110100010011101P1011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
01001001111110000000001100000110110000001100110010111100100010100110011110011110000100010100011010001100110111110010001011111000100101000001100111011110101111000011001011111101000100111011P11011100100010111111010011000011110101111011100110000010100100011111010001001111101100110001011000101000100001111001111001100101000100111101001100110000001101100000110000000001111110010010; P ->  1P1
